source_key,source,source_id,source_statement,capability_id,capability,disposition,justification
docs/programs/engineering-process-platform/gates.md:PROD-01,docs/programs/engineering-process-platform/gates.md,PROD-01,Canonical process semantics,CAP-001,Canonical definition and immutable revision authority,retain,"Retained as a canonical-model, safety, or execution invariant."
docs/programs/engineering-process-platform/gates.md:PROD-02,docs/programs/engineering-process-platform/gates.md,PROD-02,Engineer-readable UX,CAP-025,"Engineer usability, accessibility, and responsive operation",retain,"Retained as a canonical-model, safety, or execution invariant."
docs/programs/engineering-process-platform/gates.md:PROD-03,docs/programs/engineering-process-platform/gates.md,PROD-03,Truthful execution modes and provenance,CAP-021,Truthful execution modes and current-run provenance,retain,"Retained as a canonical-model, safety, or execution invariant."
docs/programs/engineering-process-platform/gates.md:PROD-04,docs/programs/engineering-process-platform/gates.md,PROD-04,Layered failure and recovery,CAP-020,"Layered failure, needs-input, and bounded recovery",revise,The semantic need is retained while the prior product treatment is replaced by the recovery concept.
docs/programs/engineering-process-platform/gates.md:PROD-05,docs/programs/engineering-process-platform/gates.md,PROD-05,Inspectable liveness and control,CAP-018,"Truthful run states, liveness, cancellation, and reconnect",retain,"Retained as a canonical-model, safety, or execution invariant."
docs/programs/engineering-process-platform/gates.md:PROD-06,docs/programs/engineering-process-platform/gates.md,PROD-06,Exact governed authority,CAP-022,"Human approval, authority, and safe external-action boundaries",retain,"Retained as a canonical-model, safety, or execution invariant."
docs/programs/engineering-process-platform/gates.md:PROD-07,docs/programs/engineering-process-platform/gates.md,PROD-07,Inspectable and actionable results,CAP-015,"Output inspection, lineage, open, download, and lifetime",retain,"Retained as a canonical-model, safety, or execution invariant."
docs/programs/engineering-process-platform/gates.md:PROD-08,docs/programs/engineering-process-platform/gates.md,PROD-08,Generic architecture,CAP-027,Generic domain/provider/tool-independent architecture,retain,"Retained as a canonical-model, safety, or execution invariant."
docs/programs/engineering-process-platform/gates.md:PROD-09,docs/programs/engineering-process-platform/gates.md,PROD-09,"Security, privacy, and safety",CAP-024,"Security, privacy, resource, and tool-isolation controls",retain,"Retained as a canonical-model, safety, or execution invariant."
docs/programs/engineering-process-platform/gates.md:PROD-10,docs/programs/engineering-process-platform/gates.md,PROD-10,Quality and compatibility,CAP-013,"Structured validation, diagnostics, and compatibility",retain,"Retained as a canonical-model, safety, or execution invariant."
docs/programs/engineering-process-platform/gates.md:PROD-11,docs/programs/engineering-process-platform/gates.md,PROD-11,Documentation and supportability,CAP-003,Typed ports and artifact contracts,retain,"Retained as a canonical-model, safety, or execution invariant."
docs/programs/engineering-process-platform/gates.md:BENCH-01,docs/programs/engineering-process-platform/gates.md,BENCH-01,Governed sampling and distinctness,CAP-030,Independent engineering oracles and benchmark qualification,defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:BENCH-02,docs/programs/engineering-process-platform/gates.md,BENCH-02,Qualified manifests,CAP-030,Independent engineering oracles and benchmark qualification,defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:BENCH-03,docs/programs/engineering-process-platform/gates.md,BENCH-03,Valid oracles and artifacts,CAP-030,Independent engineering oracles and benchmark qualification,defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:BENCH-04,docs/programs/engineering-process-platform/gates.md,BENCH-04,Reproducible execution,CAP-029,Engineering-process outcomes across the customer story catalog,defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:BENCH-05,docs/programs/engineering-process-platform/gates.md,BENCH-05,Holdout and anti-overfitting,CAP-030,Independent engineering oracles and benchmark qualification,defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:BENCH-06,docs/programs/engineering-process-platform/gates.md,BENCH-06,Coverage and failure behavior,CAP-020,"Layered failure, needs-input, and bounded recovery",defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:BENCH-07,docs/programs/engineering-process-platform/gates.md,BENCH-07,Independent qualification and freshness,CAP-030,Independent engineering oracles and benchmark qualification,defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:BENCH-08,docs/programs/engineering-process-platform/gates.md,BENCH-08,Truthful reporting,CAP-003,Typed ports and artifact contracts,defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:COMM-01,docs/programs/engineering-process-platform/gates.md,COMM-01,Approved offering posture,CAP-022,"Human approval, authority, and safe external-action boundaries",defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:COMM-02,docs/programs/engineering-process-platform/gates.md,COMM-02,Packaging and supply chain,CAP-031,"Program control, truthful dashboard, packaging, and release train",defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:COMM-03,docs/programs/engineering-process-platform/gates.md,COMM-03,Privacy and operational safety,CAP-024,"Security, privacy, resource, and tool-isolation controls",defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:COMM-04,docs/programs/engineering-process-platform/gates.md,COMM-04,Evidence-backed compatibility,CAP-019,"Inputs, Outputs, Activity, and Diagnosis per executable block",defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:COMM-05,docs/programs/engineering-process-platform/gates.md,COMM-05,"Lifecycle, upgrade, and rollback",CAP-028,"Persistence, migration, offline, rollback, and lifecycle support",defer,Preserved in the source map; outside the recovery concept and still independently gated.
docs/programs/engineering-process-platform/gates.md:COMM-06,docs/programs/engineering-process-platform/gates.md,COMM-06,Documentation and support operations,CAP-003,Typed ports and artifact contracts,defer,Preserved in the source map; outside the recovery concept and still independently gated.
